Channel,Order,P&L Line,BarType,Amount,Target
Partners,23,Taxes,delta,-90828.0,-89011.44
Partners,24,Net Profit,total,272484.0,280658.52
Direct Sales,1,Gross Revenue,total,920000,947600.0
Direct Sales,2,Discounts,delta,-18400.0,-18032.0
Direct Sales,3,Returns,delta,-4600.0,-4508.0
Direct Sales,4,Net Revenue,subtotal,897000.0,923910.0
Direct Sales,5,Cost of Goods,delta,-430560.0,-421948.8
Direct Sales,6,Gross Profit,subtotal,466440.0,480433.2
Direct Sales,7,Digital Marketing,delta,-10853.7,-10636.63
Direct Sales,8,Trade Marketing,delta,-5920.2,-5801.8
Direct Sales,9,Brand,delta,-2960.1,-2900.9
Direct Sales,10,Sales Payroll,delta,-83959.2,-82280.02
Direct Sales,11,Warehouse Payroll,delta,-55972.8,-54853.34
Direct Sales,12,Admin Payroll,delta,-34983.0,-34283.34
Direct Sales,13,Inbound Freight,delta,-4305.6,-4219.49
Direct Sales,14,Last Mile,delta,-4843.8,-4746.92
Direct Sales,15,Warehousing,delta,-1614.6,-1582.31
Direct Sales,16,Rent & Facilities,delta,-8970.0,-8790.6
Direct Sales,17,IT & Software,delta,-17940.0,-17581.2
Direct Sales,18,Other Opex,delta,-23322.0,-22855.56
Direct Sales,19,EBITDA,subtotal,210795.0,217118.85
Direct Sales,20,Depreciation,delta,-10764.0,-10548.72
Direct Sales,21,EBIT,subtotal,200031.0,206031.93
Direct Sales,22,Financial Result,delta,-897.0,-879.06
Direct Sales,23,Taxes,delta,-49783.5,-48787.83
Direct Sales,24,Net Profit,total,149350.5,153831.02
